eco	name	pgn	uci_moves	games	parents	fen	ply	player_white	player_black	player_white_with_children	player_black_with_children	player_total	player_total_with_children	all_pct	player_pct	player_pct_with_children	white_pct	white_pct_with_children	black_pct	black_pct_with_children	ratio_white	ratio_black
B00	Nimzowitsch Defense: El Columpio Defense, Exchange Variation	1. e4 Nc6 2. Nf3 Nf6 3. e5 Ng4 4. d4 d6 5. h3 Nh6 6. exd6	['e2e4', 'b8c6', 'g1f3', 'g8f6', 'e4e5', 'f6g4', 'd2d4', 'd7d6', 'h2h3', 'g4h6', 'e5d6']	3494	"[""King's Pawn Game"", 'Nimzowitsch Defense', 'Nimzowitsch Defense: Declined Variation', 'Nimzowitsch Defense: El Columpio Defense']"	r1bqkb1r/ppp1pppp/2nP3n/8/3P4/5N1P/PPP2PP1/RNBQKB1R b KQkq - 0 6	11	0	0	0	0	0	0	2.353616348396775e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C39	King's Gambit Accepted: Kieseritzky Gambit, Neumann Defense	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ne5 Nc6	['e2e4', 'e7e5', 'f2f4', 'e5f4', 'g1f3', 'g7g5', 'h2h4', 'g5g4', 'f3e5', 'b8c6']	3492	"[""King's Pawn Game"", ""King's Gambit"", ""King's Gambit Accepted"", ""King's Gambit Accepted: King's Knight's Gambit"", ""King's Gambit Accepted: Kieseritzky Gambit""]"	r1bqkbnr/pppp1p1p/2n5/4N3/4PppP/8/PPPP2P1/RNBQKB1R w KQkq - 2 6	10	0	0	0	0	0	0	2.3522691152265423e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C57	Italian Game: Two Knights Defense, Traxler Variation, Trencianske-Teplice Gambit	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Bc5 5. Bxf7+ Ke7 6. d4	['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1c4', 'g8f6', 'f3g5', 'f8c5', 'c4f7', 'e8e7', 'd2d4']	3487	"[""King's Pawn Game"", ""King's Knight Opening"", ""King's Knight Opening: Normal Variation"", 'Italian Game', 'Italian Game: Two Knights Defense', 'Italian Game: Two Knights Defense, Knight Attack', 'Italian Game: Two Knights Defense, Traxler Counterattack', 'Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line']"	r1bq3r/ppppkBpp/2n2n2/2b1p1N1/3PP3/8/PPP2PPP/RNBQK2R b KQ - 0 6	11	0	0	0	0	0	0	2.3489010323009603e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A30	English Opening: Symmetrical Variation, Napolitano Gambit	1. c4 c5 2. Nf3 Nf6 3. b4	['c2c4', 'c7c5', 'g1f3', 'g8f6', 'b2b4']	3468	['English Opening', 'English Opening: Symmetrical Variation']	rnbqkb1r/pp1ppppp/5n2/2p5/1PP5/5N2/P2PPPPP/RNBQKB1R b KQkq - 0 3	5	0	0	0	0	0	0	2.336102317183748e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B06	Pterodactyl Defense: Austrian, Pteranodon	1. e4 g6 2. d4 Bg7 3. f4 c5 4. c3 Qa5	['e2e4', 'g7g6', 'd2d4', 'f8g7', 'f2f4', 'c7c5', 'c2c3', 'd8a5']	3460	"[""King's Pawn Game"", 'Modern Defense', 'Modern Defense: Three Pawns Attack']"	rnb1k1nr/pp1pppbp/6p1/q1p5/3PPP2/2P5/PP4PP/RNBQKBNR w KQkq - 1 5	8	0	0	0	0	0	0	2.3307133845028167e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C25	Vienna Gambit, with Max Lange Defense: Hamppe-Allgaier Gambit, Alapin Variation	1. e4 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3 g5 5. h4 g4 6. Ng5 d6	['e2e4', 'e7e5', 'b1c3', 'b8c6', 'f2f4', 'e5f4', 'g1f3', 'g7g5', 'h2h4', 'g5g4', 'f3g5', 'd7d6']	3438	"[""King's Pawn Game"", 'Vienna Game', 'Vienna Game: Max Lange Defense', 'Vienna Gambit, with Max Lange Defense', 'Vienna Gambit, with Max Lange Defense: Knight Variation', 'Vienna Gambit, with Max Lange Defense: Hamppe-Allgaier Gambit']"	r1bqkbnr/ppp2p1p/2np4/6N1/4PppP/2N5/PPPP2P1/R1BQKB1R w KQkq - 0 7	12	0	1	0	1	1	1	2.3158938196302556e-07	0.00011469205184080744	3.357394661742488e-05	0.0	0.0	0.00022941041523285156	6.637902422834384e-05	0.0	286.62378070054007
D34	Tarrasch Defense: Classical Variation, Spassky Variation	1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 exd5 5. Nf3 Nc6 6. g3 Nf6 7. Bg2 Be7 8. O-O O-O 9. Bg5 cxd4 10. Nxd4 h6 11. Be3 Bg4	['d2d4', 'd7d5', 'c2c4', 'e7e6', 'b1c3', 'c7c5', 'c4d5', 'e6d5', 'g1f3', 'b8c6', 'g2g3', 'g8f6', 'f1g2', 'f8e7', 'e1g1', 'e8g8', 'c1g5', 'c5d4', 'f3d4', 'h7h6', 'g5e3', 'c8g4']	3426	"[""Queen's Pawn Game"", ""Queen's Gambit"", ""Queen's Gambit Declined"", ""Queen's Gambit Declined: Queen's Knight Variation"", 'Tarrasch Defense', ""Queen's Gambit Declined: Tarrasch Defense"", 'Tarrasch Defense: Two Knights Variation', 'Tarrasch Defense: Classical Variation', 'Tarrasch Defense: Prague Variation', 'Tarrasch Defense: Rubinstein System', 'Tarrasch Defense: Prague Variation, Main Line', 'Tarrasch Defense: Classical Variation, Carlsbad Variation']"	r2q1rk1/pp2bpp1/2n2n1p/3p4/3N2b1/2N1B1P1/PP2PPBP/R2Q1RK1 w - - 2 12	22	0	0	0	0	0	0	2.3078104206088587e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C83	Ruy Lopez: Open, Classical Defense, Main Line	1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. d4 Be7 7. Re1 b5 8. Bb3 d5 9. dxe5 Be6 10. c3	['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'a7a6', 'b5a4', 'g8f6', 'e1g1', 'f6e4', 'd2d4', 'f8e7', 'f1e1', 'b7b5', 'a4b3', 'd7d5', 'd4e5', 'c8e6', 'c2c3']	3421	"[""King's Pawn Game"", ""King's Knight Opening"", ""King's Knight Opening: Normal Variation"", 'Ruy Lopez', 'Ruy Lopez: Morphy Defense', 'Ruy Lopez: Open']"	r2qk2r/2p1bppp/p1n1b3/1p1pP3/4n3/1BP2N2/PP3PPP/RNBQR1K1 b kq - 0 10	19	0	0	0	0	0	0	2.3044423376832765e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C67	Ruy Lopez: Berlin Defense, l'Hermet Variation, Westerinen Line	1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 Nd6 6. Bxc6 dxc6 7. dxe5 Ne4	['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'g8f6', 'e1g1', 'f6e4', 'd2d4', 'e4d6', 'b5c6', 'd7c6', 'd4e5', 'd6e4']	3362	"[""King's Pawn Game"", ""King's Knight Opening"", ""King's Knight Opening: Normal Variation"", 'Ruy Lopez', 'Ruy Lopez: Berlin Defense', 'Ruy Lopez: Berlin Defense, Rio Gambit Accepted', ""Ruy Lopez: Berlin Defense, l'Hermet Variation""]"	r1bqkb1r/ppp2ppp/2p5/4P3/4n3/5N2/PPP2PPP/RNBQ1RK1 w kq - 1 8	14	0	0	0	0	0	0	2.2646989591614076e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B22	Sicilian Defense: Alapin Variation, Stoltz Attack, Ivanchuk Line	1. e4 c5 2. c3 Nf6 3. e5 Nd5 4. Nf3 Nc6 5. Bc4 Nb6 6. Bb3 c4 7. Bc2 Qc7 8. Qe2 g5	['e2e4', 'c7c5', 'c2c3', 'g8f6', 'e4e5', 'f6d5', 'g1f3', 'b8c6', 'f1c4', 'd5b6', 'c4b3', 'c5c4', 'b3c2', 'd8c7', 'd1e2', 'g7g5']	3353	"[""King's Pawn Game"", 'Sicilian Defense', 'Sicilian Defense: Alapin Variation', 'Sicilian Defense: Alapin Variation, Stoltz Attack']"	r1b1kb1r/ppqppp1p/1nn5/4P1p1/2p5/2P2N2/PPBPQPPP/RNB1K2R w KQkq - 0 9	16	0	0	0	0	0	0	2.2586364098953598e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
