eco	name	pgn	uci_moves	games	parents	fen	ply	player_white	player_black	player_white_with_children	player_black_with_children	player_total	player_total_with_children	all_pct	player_pct	player_pct_with_children	white_pct	white_pct_with_children	black_pct	black_pct_with_children	ratio_white	ratio_black	popularity_rank
A00	Van Geet Opening: Dunst-Perrenet Gambit	1. Nc3 d5 2. e4 dxe4 3. d3	['b1c3', 'd7d5', 'e2e4', 'd5e4', 'd2d3']	1140690	['Van Geet Opening']	rnbqkbnr/ppp1pppp/8/8/4p3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 3	5	0	0	0	0	0	0	7.683877024764503e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	636
A04	Zukertort Opening: Vos Gambit	1. Nf3 d6 2. d4 e5	['g1f3', 'd7d6', 'd2d4', 'e7e5']	1132944	['Zukertort Opening', 'Zukertort Opening: Pirc Invitation']	rnbqkbnr/ppp2ppp/3p4/4p3/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3	4	0	0	0	0	0	0	7.631698684081385e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	637
B57	Sicilian Defense: Classical Variation, Sozin Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bc4	['e2e4', 'c7c5', 'g1f3', 'd7d6', 'd2d4', 'c5d4', 'f3d4', 'g8f6', 'b1c3', 'b8c6', 'f1c4']	1132263	"[""King's Pawn Game"", 'Sicilian Defense', 'Sicilian Defense: Modern Variations', 'Sicilian Defense: Modern Variations, Main Line', 'Sicilian Defense: Classical Variation']"	r1bqkb1r/pp2pppp/2np1n2/8/2BNP3/2N5/PPP2PPP/R1BQK2R b KQkq - 4 6	11	0	0	0	0	0	0	7.627111355136742e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	638
B33	Sicilian Defense: Lasker-Pelikan Variation, Retreat Variation	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Nf3	['e2e4', 'c7c5', 'g1f3', 'b8c6', 'd2d4', 'c5d4', 'f3d4', 'g8f6', 'b1c3', 'e7e5', 'd4f3']	1130446	"[""King's Pawn Game"", 'Sicilian Defense', 'Sicilian Defense: Old Sicilian', 'Sicilian Defense: Open', 'Sicilian Defense: Lasker-Pelikan Variation']"	r1bqkb1r/pp1p1ppp/2n2n2/4p3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 1 6	11	0	1	0	1	1	1	7.614871741785177e-05	0.0033783783783783786	0.0010111223458038423	0.0	0.0	0.00684931506849315	0.0019880715705765406	0.0	26.107748600247216	639
A40	Kangaroo Defense	1. d4 e6 2. c4 Bb4+	['d2d4', 'e7e6', 'c2c4', 'f8b4']	1129062	"[""Queen's Pawn Game"", 'Horwitz Defense']"	rnbqk1nr/pppp1ppp/4p3/8/1bPP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3	4	0	0	0	0	0	0	7.605548888247166e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	640
D12	Slav Defense: Quiet Variation, Schallopp Defense	1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3 Bf5	['d2d4', 'd7d5', 'c2c4', 'c7c6', 'g1f3', 'g8f6', 'e2e3', 'c8f5']	1128184	"[""Queen's Pawn Game"", ""Queen's Gambit"", 'Slav Defense', 'Slav Defense: Modern Line', 'Slav Defense: Quiet Variation']"	rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 1 5	8	0	0	0	0	0	0	7.599634534629844e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	641
C29	Vienna Game: Vienna Gambit, Main Line	1. e4 e5 2. Nc3 Nf6 3. f4 d5	['e2e4', 'e7e5', 'b1c3', 'g8f6', 'f2f4', 'd7d5']	1124758	"[""King's Pawn Game"", 'Vienna Game', 'Vienna Game: Falkbeer Variation', 'Vienna Game: Vienna Gambit']"	rnbqkb1r/ppp2ppp/5n2/3pp3/4PP2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 4	6	0	0	0	0	0	0	7.576556430423755e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	642
C41	Philidor Defense: Morphy Gambit	1. e4 e5 2. Nf3 d6 3. d4 exd4 4. Bc4	['e2e4', 'e7e5', 'g1f3', 'd7d6', 'd2d4', 'e5d4', 'f1c4']	1123542	"[""King's Pawn Game"", ""King's Knight Opening"", 'Philidor Defense', 'Philidor Defense: Exchange Variation']"	rnbqkbnr/ppp2ppp/3p4/8/2BpP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 4	7	0	0	0	0	0	0	7.56836525274874e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	643
B27	Sicilian Defense: Katalimov Variation	1. e4 c5 2. Nf3 b6	['e2e4', 'c7c5', 'g1f3', 'b7b6']	1123235	"[""King's Pawn Game"", 'Sicilian Defense']"	rnbqkbnr/p2ppppp/1p6/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3	4	0	0	0	0	0	0	7.566297249832432e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	644
C25	Vienna Game: Omaha Gambit	1. e4 e5 2. Nc3 d6 3. f4	['e2e4', 'e7e5', 'b1c3', 'd7d6', 'f2f4']	1122473	"[""King's Pawn Game"", 'Vienna Game']"	rnbqkbnr/ppp2ppp/3p4/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3	5	0	0	0	0	0	0	7.561164291453845e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	645
